label,size,total_time
BLAS,50,9.8e-6
better,50,0.0002829
naive,50,0.0002578
BLAS,50,1.02e-5
better,50,0.0003044
naive,50,0.000259
BLAS,50,9.5e-6
better,50,0.0002752
naive,50,0.0002657
BLAS,50,1.0e-5
better,50,0.0002836
naive,50,0.0002588
BLAS,50,9.7e-6
better,50,0.0002753
naive,50,0.0002733
BLAS,50,9.7e-6
better,50,0.0002782
naive,50,0.0002661
BLAS,50,1.01e-5
better,50,0.0002818
naive,50,0.0002659
BLAS,50,9.0e-6
better,50,0.0002752
naive,50,0.0002586
BLAS,50,1.14e-5
better,50,0.0002921
naive,50,0.0002577
BLAS,50,1.32e-5
better,50,0.000275
naive,50,0.0002653
BLAS,45,8.3e-6
better,45,0.0002098
naive,45,0.0001868
BLAS,45,7.3e-6
better,45,0.0002015
naive,45,0.000187
BLAS,45,8.2e-6
better,45,0.0002084
naive,45,0.000195
BLAS,45,7.2e-6
better,45,0.0002008
naive,45,0.0001878
BLAS,45,7.6e-6
better,45,0.0002018
naive,45,0.0001943
BLAS,45,8.7e-6
better,45,0.0002226
naive,45,0.0001868
BLAS,45,7.3e-6
better,45,0.0002008
naive,45,0.0001868
BLAS,45,8.2e-6
better,45,0.0002083
naive,45,0.0001945
BLAS,45,7.5e-6
better,45,0.0002013
naive,45,0.0001867
BLAS,45,8.4e-6
better,45,0.000202
naive,45,0.0002008
BLAS,40,4.9e-6
better,40,0.0001419
naive,40,0.00013
BLAS,40,4.9e-6
better,40,0.000141
naive,40,0.0001308
BLAS,40,5.3e-6
better,40,0.0001408
naive,40,0.0001377
BLAS,40,5.8e-6
better,40,0.0001931
naive,40,0.00013
BLAS,40,4.9e-6
better,40,0.0001416
naive,40,0.0001297
BLAS,40,4.9e-6
better,40,0.0001408
naive,40,0.0001298
BLAS,40,5.6e-6
better,40,0.0001484
naive,40,0.0001378
BLAS,40,5.0e-6
better,40,0.0001455
naive,40,0.0001307
BLAS,40,5.8e-6
better,40,0.0001492
naive,40,0.0001308
BLAS,40,8.7e-6
better,40,0.0001456
naive,40,0.0001373
BLAS,35,5.4e-6
better,35,0.0001052
naive,35,8.68e-5
BLAS,35,4.4e-6
better,35,9.72e-5
naive,35,8.64e-5
BLAS,35,4.3e-6
better,35,9.7e-5
naive,35,8.7e-5
BLAS,35,4.5e-6
better,35,9.71e-5
naive,35,8.68e-5
BLAS,35,4.9e-6
better,35,0.0001039
naive,35,8.64e-5
BLAS,35,5.4e-6
better,35,0.0001056
naive,35,8.65e-5
BLAS,35,4.3e-6
better,35,9.74e-5
naive,35,8.65e-5
BLAS,35,4.4e-6
better,35,9.76e-5
naive,35,8.63e-5
BLAS,35,4.7e-6
better,35,9.74e-5
naive,35,8.69e-5
BLAS,35,9.6e-6
better,35,0.000104
naive,35,0.0001146
BLAS,30,3.1e-6
better,30,6.05e-5
naive,30,5.41e-5
BLAS,30,3.1e-6
better,30,6.16e-5
naive,30,5.4e-5
BLAS,30,3.2e-6
better,30,6.12e-5
naive,30,5.44e-5
BLAS,30,3.1e-6
better,30,6.11e-5
naive,30,5.41e-5
BLAS,30,3.2e-6
better,30,6.12e-5
naive,30,5.43e-5
BLAS,30,3.1e-6
better,30,6.2e-5
naive,30,5.39e-5
BLAS,30,3.4e-6
better,30,6.1e-5
naive,30,6.11e-5
BLAS,30,3.9e-6
better,30,6.15e-5
naive,30,6.3e-5
BLAS,30,3.3e-6
better,30,6.09e-5
naive,30,5.45e-5
BLAS,30,3.8e-6
better,30,6.09e-5
naive,30,5.41e-5
BLAS,25,2.1e-6
better,25,3.57e-5
naive,25,3.2e-5
BLAS,25,2.3e-6
better,25,3.57e-5
naive,25,3.15e-5
BLAS,25,2.4e-6
better,25,3.6e-5
naive,25,3.18e-5
BLAS,25,2.4e-6
better,25,3.6e-5
naive,25,3.14e-5
BLAS,25,2.5e-6
better,25,3.58e-5
naive,25,3.15e-5
BLAS,25,2.4e-6
better,25,3.59e-5
naive,25,3.18e-5
BLAS,25,3.1e-6
better,25,3.58e-5
naive,25,4.74e-5
BLAS,25,2.1e-6
better,25,3.55e-5
naive,25,3.14e-5
BLAS,25,3.0e-6
better,25,3.58e-5
naive,25,4.07e-5
BLAS,25,1.05e-5
better,25,3.58e-5
naive,25,3.14e-5
BLAS,20,1.4e-6
better,20,1.86e-5
naive,20,1.67e-5
BLAS,20,1.5e-6
better,20,1.85e-5
naive,20,1.63e-5
BLAS,20,1.4e-6
better,20,1.84e-5
naive,20,1.63e-5
BLAS,20,1.2e-6
better,20,1.84e-5
naive,20,1.62e-5
BLAS,20,1.2e-6
better,20,1.85e-5
naive,20,1.62e-5
BLAS,20,1.3e-6
better,20,1.85e-5
naive,20,1.62e-5
BLAS,20,1.3e-6
better,20,1.86e-5
naive,20,1.64e-5
BLAS,20,1.3e-6
better,20,1.85e-5
naive,20,1.64e-5
BLAS,20,1.3e-6
better,20,1.85e-5
naive,20,1.64e-5
BLAS,20,1.9e-6
better,20,1.85e-5
naive,20,1.63e-5
BLAS,15,9.0e-7
better,15,8.0e-6
naive,15,7.1e-6
BLAS,15,9.0e-7
better,15,8.3e-6
naive,15,7.1e-6
BLAS,15,9.0e-7
better,15,8.0e-6
naive,15,7.0e-6
BLAS,15,8.0e-7
better,15,8.1e-6
naive,15,7.0e-6
BLAS,15,1.1e-6
better,15,8.2e-6
naive,15,7.1e-6
BLAS,15,1.1e-6
